"Gemeinde_de","Text_de","Gemeinde_fr","Text_fr","Gemeinde_it","Text_it"
"Ottenbach ZH","74,9 Prozent der Stimmbürgerinnen und Stimmbürger von Ottenbach sagen Nein zur Umweltverantwortungsinitiative. Ottenbach hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Ottenbach (ZH)","Les habitants d'Ottenbach s'opposent à l'initiative sur la responsabilité environnementale avec 74,9 pour cent de non. Ottenbach a rejeté le texte des Jeunes Vert-e-s, tout comme son canton.","Ottenbach (ZH)","Gli abitanti di Ottenbach hanno respinto l'iniziativa per la resposanbilità ambientale con il 74,9 per cento di ""no"". Ottenbach ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Rifferswil ZH","53 Prozent der Stimmbürgerinnen und Stimmbürger von Rifferswil sagen Nein zur Umweltverantwortungsinitiative. Rifferswil hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Rifferswil (ZH)","Les habitants de Rifferswil s'opposent à l'initiative sur la responsabilité environnementale avec 53 pour cent de non. Rifferswil a rejeté le texte des Jeunes Vert-e-s, tout comme son canton.","Rifferswil (ZH)","Gli abitanti di Rifferswil hanno respinto l'iniziativa per la resposanbilità ambientale con il 53 per cento di ""no"". Rifferswil ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Stallikon ZH","Nein zur Umweltverantwortungsinitiative in Stallikon: Die Gemeinde hat die Vorlage mit 76 Prozent abgelehnt. Stallikon hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Stallikon (ZH)","À Stallikon, les habitants disent non à 76 pour cent à l'initiative sur la responsabilité environnementale. Stallikon a rejeté le texte des Jeunes Vert-e-s, tout comme son canton.","Stallikon (ZH)","Nel comune di Stallikon, i cittadini hanno respinto l'iniziativa per la resposanbilità ambientale con il 76 per cento di voti contrari. Stallikon ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Wettswil am Albis ZH","In Wettswil am Albis hat die Umweltverantwortungsinitiative keine Mehrheit gefunden. Auf 78 Prozent der abgegebenen Stimmzettel stand ein Nein. Wettswil am Albis hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Wettswil am Albis (ZH)","Les habitants de Wettswil am Albis rejettent l'initiative sur la responsabilité environnementale à 78 pour cent. Wettswil am Albis a rejeté le texte des Jeunes Vert-e-s, tout comme son canton.","Wettswil am Albis (ZH)","I cittadini di Wettswil am Albis hanno respinto l'iniziativa per la resposanbilità ambientale con il 78 per cento di voti contrari. Wettswil am Albis ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Benken ZH","Benken ZH hat die Umweltverantwortungsinitiative mit 89,8 Prozent abgelehnt. Benken ZH hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton Zürich.","Benken (ZH)","L'initiative sur la responsabilité environnementale ne passe pas la rampe à Benken (ZH) avec 89,8 pour cent de non. Le plus fort pourcentage de non du canton de Zurich a été obtenu à Benken (ZH).","Benken (ZH)","L'iniziativa per la resposanbilità ambientale è stata respinta a Benken ZH, dove ha riscosso il 89,8 per cento di ""no"". Il maggior numero di ""no"" nel canton Zurigo è stato ottenuto a Benken ZH."
"Berg am Irchel ZH","Keine Mehrheit für die Umweltverantwortungsinitiative in Berg am Irchel: Mit 189 Nein-Stimmen zu 41 Ja-Stimmen oder 82,2 Prozent hat die Gemeinde das Volksbegehren verworfen. Berg am Irchel hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Berg am Irchel (ZH)","C'est non à 82,2 pour cent à l'initiative sur la responsabilité environnementale à Berg am Irchel. Berg am Irchel a rejeté le texte des Jeunes Vert-e-s, tout comme son canton.","Berg am Irchel (ZH)","Il 82,2 per cento degli elettori di Berg am Irchel ha respinto l'iniziativa per la resposanbilità ambientale. Berg am Irchel ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Buch am Irchel ZH","Nein zur Umweltverantwortungsinitiative in Buch am Irchel: Mit 261 Nein- zu 83 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 75,9 Prozent. Buch am Irchel hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Buch am Irchel (ZH)","L'initiative sur la responsabilité environnementale échoue à Buch am Irchel avec 75,9 pour cent des suffrages. Buch am Irchel a rejeté le texte des Jeunes Vert-e-s, tout comme son canton.","Buch am Irchel (ZH)","Gli elettori di Buch am Irchel si sono mostrati scettici nei confronti del potenziamento delle strade nazionali, che è stata respinta con il 75,9 per cento di voti contrari. Buch am Irchel ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Dachsen ZH","Nein zur Umweltverantwortungsinitiative in Dachsen: Mit 493 Nein- zu 180 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 73,3 Prozent. Dachsen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Dachsen (ZH)","L'initiative sur la responsabilité environnementale échoue à Dachsen avec 73,3 pour cent des suffrages. Dachsen a rejeté le texte des Jeunes Vert-e-s, tout comme son canton.","Dachsen (ZH)","Gli elettori di Dachsen si sono mostrati scettici nei confronti del potenziamento delle strade nazionali, che è stata respinta con il 73,3 per cento di voti contrari. Dachsen ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Dorf ZH","In Dorf hat die Stimmbevölkerung die Umweltverantwortungsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 83,9 Prozent verworfen. Dorf hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Dorf (ZH)","À Dorf, les habitants sont défavorables à l'initiative sur la responsabilité environnementale avec 83,9 pour cent des voix. Dorf a rejeté le texte des Jeunes Vert-e-s, tout comme son canton.","Dorf (ZH)","A Dorf gli abitanti si sono opposti al potenziamento delle strade nazionali con il 83,9 per cento di voti a sfavore. Dorf ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Feuerthalen ZH","Keine Mehrheit für die Umweltverantwortungsinitiative in Feuerthalen: Mit 660 Nein-Stimmen zu 272 Ja-Stimmen oder 70,8 Prozent hat die Gemeinde das Volksbegehren verworfen. Feuerthalen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Feuerthalen (ZH)","C'est non à 70,8 pour cent à l'initiative sur la responsabilité environnementale à Feuerthalen. Feuerthalen a rejeté le texte des Jeunes Vert-e-s, tout comme son canton.","Feuerthalen (ZH)","Il 70,8 per cento degli elettori di Feuerthalen ha respinto l'iniziativa per la resposanbilità ambientale. Feuerthalen ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Flaach ZH","In Flaach hat die Umweltverantwortungsinitiative keine Mehrheit gefunden. Auf 82 Prozent der abgegebenen Stimmzettel stand ein Nein. Flaach hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Flaach (ZH)","Les habitants de Flaach rejettent l'initiative sur la responsabilité environnementale à 82 pour cent. Flaach a rejeté le texte des Jeunes Vert-e-s, tout comme son canton.","Flaach (ZH)","I cittadini di Flaach hanno respinto l'iniziativa per la resposanbilità ambientale con il 82 per cento di voti contrari. Flaach ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Flurlingen ZH","Keine Mehrheit für die Umweltverantwortungsinitiative in Flurlingen: Mit 313 Nein-Stimmen zu 156 Ja-Stimmen oder 66,7 Prozent hat die Gemeinde das Volksbegehren verworfen. Flurlingen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Flurlingen (ZH)","C'est non à 66,7 pour cent à l'initiative sur la responsabilité environnementale à Flurlingen. Flurlingen a rejeté le texte des Jeunes Vert-e-s, tout comme son canton.","Flurlingen (ZH)","Il 66,7 per cento degli elettori di Flurlingen ha respinto l'iniziativa per la resposanbilità ambientale. Flurlingen ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Henggart ZH","Keine Mehrheit für die Umweltverantwortungsinitiative in Henggart: Mit 588 Nein-Stimmen zu 180 Ja-Stimmen oder 76,6 Prozent hat die Gemeinde das Volksbegehren verworfen. Henggart hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Henggart (ZH)","C'est non à 76,6 pour cent à l'initiative sur la responsabilité environnementale à Henggart. Henggart a rejeté le texte des Jeunes Vert-e-s, tout comme son canton.","Henggart (ZH)","Il 76,6 per cento degli elettori di Henggart ha respinto l'iniziativa per la resposanbilità ambientale. Henggart ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Kleinandelfingen ZH","75,5 Prozent der Stimmbürgerinnen und Stimmbürger von Kleinandelfingen sagen Nein zur Umweltverantwortungsinitiative. Kleinandelfingen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Kleinandelfingen (ZH)","Les habitants de Kleinandelfingen s'opposent à l'initiative sur la responsabilité environnementale avec 75,5 pour cent de non. Kleinandelfingen a rejeté le texte des Jeunes Vert-e-s, tout comme son canton.","Kleinandelfingen (ZH)","Gli abitanti di Kleinandelfingen hanno respinto l'iniziativa per la resposanbilità ambientale con il 75,5 per cento di ""no"". Kleinandelfingen ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Laufen-Uhwiesen ZH","Keine Mehrheit für die Umweltverantwortungsinitiative in Laufen-Uhwiesen: Mit 457 Nein-Stimmen zu 116 Ja-Stimmen oder 79,8 Prozent hat die Gemeinde das Volksbegehren verworfen. Laufen-Uhwiesen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Laufen-Uhwiesen (ZH)","C'est non à 79,8 pour cent à l'initiative sur la responsabilité environnementale à Laufen-Uhwiesen. Laufen-Uhwiesen a rejeté le texte des Jeunes Vert-e-s, tout comme son canton.","Laufen-Uhwiesen (ZH)","Il 79,8 per cento degli elettori di Laufen-Uhwiesen ha respinto l'iniziativa per la resposanbilità ambientale. Laufen-Uhwiesen ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Marthalen ZH","76,8 Prozent der Stimmbürgerinnen und Stimmbürger von Marthalen sagen Nein zur Umweltverantwortungsinitiative. Marthalen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Marthalen (ZH)","Les habitants de Marthalen s'opposent à l'initiative sur la responsabilité environnementale avec 76,8 pour cent de non. Marthalen a rejeté le texte des Jeunes Vert-e-s, tout comme son canton.","Marthalen (ZH)","Gli abitanti di Marthalen hanno respinto l'iniziativa per la resposanbilità ambientale con il 76,8 per cento di ""no"". Marthalen ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Ossingen ZH","Ossingen hat die Umweltverantwortungsinitiative mit 71 Prozent abgelehnt. Ossingen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Ossingen (ZH)","L'initiative sur la responsabilité environnementale ne passe pas la rampe à Ossingen avec 71 pour cent de non. Ossingen a rejeté le texte des Jeunes Vert-e-s, tout comme son canton.","Ossingen (ZH)","L'iniziativa per la resposanbilità ambientale è stata respinta a Ossingen, dove ha riscosso il 71 per cento di ""no"". Ossingen ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Rheinau ZH","In Rheinau hat die Umweltverantwortungsinitiative keine Mehrheit gefunden. Auf 66,4 Prozent der abgegebenen Stimmzettel stand ein Nein. Rheinau hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Rheinau (ZH)","Les habitants de Rheinau rejettent l'initiative sur la responsabilité environnementale à 66,4 pour cent. Rheinau a rejeté le texte des Jeunes Vert-e-s, tout comme son canton.","Rheinau (ZH)","I cittadini di Rheinau hanno respinto l'iniziativa per la resposanbilità ambientale con il 66,4 per cento di voti contrari. Rheinau ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Thalheim an der Thur ZH","In Thalheim an der Thur hat die Umweltverantwortungsinitiative keine Mehrheit gefunden. Auf 81,5 Prozent der abgegebenen Stimmzettel stand ein Nein. Thalheim an der Thur hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Thalheim an der Thur (ZH)","Les habitants de Thalheim an der Thur rejettent l'initiative sur la responsabilité environnementale à 81,5 pour cent. Thalheim an der Thur a rejeté le texte des Jeunes Vert-e-s, tout comme son canton.","Thalheim an der Thur (ZH)","I cittadini di Thalheim an der Thur hanno respinto l'iniziativa per la resposanbilità ambientale con il 81,5 per cento di voti contrari. Thalheim an der Thur ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Trüllikon ZH","Nein zur Umweltverantwortungsinitiative in Trüllikon: Mit 302 Nein- zu 72 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 80,7 Prozent. Trüllikon hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Trüllikon (ZH)","L'initiative sur la responsabilité environnementale échoue à Trüllikon avec 80,7 pour cent des suffrages. Trüllikon a rejeté le texte des Jeunes Vert-e-s, tout comme son canton.","Trüllikon (ZH)","Gli elettori di Trüllikon si sono mostrati scettici nei confronti del potenziamento delle strade nazionali, che è stata respinta con il 80,7 per cento di voti contrari. Trüllikon ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Truttikon ZH","Nein zur Umweltverantwortungsinitiative in Truttikon: Die Gemeinde hat die Vorlage mit 78,3 Prozent abgelehnt. Truttikon hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Truttikon (ZH)","À Truttikon, les habitants disent non à 78,3 pour cent à l'initiative sur la responsabilité environnementale. Truttikon a rejeté le texte des Jeunes Vert-e-s, tout comme son canton.","Truttikon (ZH)","Nel comune di Truttikon, i cittadini hanno respinto l'iniziativa per la resposanbilità ambientale con il 78,3 per cento di voti contrari. Truttikon ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Volken ZH","In Volken hat die Stimmbevölkerung die Umweltverantwortungsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 85,5 Prozent verworfen. Volken hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Volken (ZH)","À Volken, les habitants sont défavorables à l'initiative sur la responsabilité environnementale avec 85,5 pour cent des voix. Volken a rejeté le texte des Jeunes Vert-e-s, tout comme son canton.","Volken (ZH)","A Volken gli abitanti si sono opposti al potenziamento delle strade nazionali con il 85,5 per cento di voti a sfavore. Volken ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Bachenbülach ZH","Nein zur Umweltverantwortungsinitiative in Bachenbülach: Mit 667 Nein- zu 209 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 76,1 Prozent. Bachenbülach hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Bachenbülach (ZH)","L'initiative sur la responsabilité environnementale échoue à Bachenbülach avec 76,1 pour cent des suffrages. Bachenbülach a rejeté le texte des Jeunes Vert-e-s, tout comme son canton.","Bachenbülach (ZH)","Gli elettori di Bachenbülach si sono mostrati scettici nei confronti del potenziamento delle strade nazionali, che è stata respinta con il 76,1 per cento di voti contrari. Bachenbülach ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Bassersdorf ZH","Nein zur Umweltverantwortungsinitiative in Bassersdorf: Die Gemeinde hat die Vorlage mit 75,7 Prozent abgelehnt. Bassersdorf hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Bassersdorf (ZH)","À Bassersdorf, les habitants disent non à 75,7 pour cent à l'initiative sur la responsabilité environnementale. Bassersdorf a rejeté le texte des Jeunes Vert-e-s, tout comme son canton.","Bassersdorf (ZH)","Nel comune di Bassersdorf, i cittadini hanno respinto l'iniziativa per la resposanbilità ambientale con il 75,7 per cento di voti contrari. Bassersdorf ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Bülach ZH","Bülach hat die Umweltverantwortungsinitiative mit 73 Prozent abgelehnt. Bülach hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Bülach (ZH)","L'initiative sur la responsabilité environnementale ne passe pas la rampe à Bülach avec 73 pour cent de non. Bülach a rejeté le texte des Jeunes Vert-e-s, tout comme son canton.","Bülach (ZH)","L'iniziativa per la resposanbilità ambientale è stata respinta a Bülach, dove ha riscosso il 73 per cento di ""no"". Bülach ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Dietlikon ZH","Nein zur Umweltverantwortungsinitiative in Dietlikon: Mit 1'319 Nein- zu 444 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 74,8 Prozent. Dietlikon hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Dietlikon (ZH)","L'initiative sur la responsabilité environnementale échoue à Dietlikon avec 74,8 pour cent des suffrages. Dietlikon a rejeté le texte des Jeunes Vert-e-s, tout comme son canton.","Dietlikon (ZH)","Gli elettori di Dietlikon si sono mostrati scettici nei confronti del potenziamento delle strade nazionali, che è stata respinta con il 74,8 per cento di voti contrari. Dietlikon ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Eglisau ZH","Eglisau hat die Umweltverantwortungsinitiative mit 69,6 Prozent abgelehnt. Eglisau hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Eglisau (ZH)","L'initiative sur la responsabilité environnementale ne passe pas la rampe à Eglisau avec 69,6 pour cent de non. Eglisau a rejeté le texte des Jeunes Vert-e-s, tout comme son canton.","Eglisau (ZH)","L'iniziativa per la resposanbilità ambientale è stata respinta a Eglisau, dove ha riscosso il 69,6 per cento di ""no"". Eglisau ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Embrach ZH","In Embrach hat die Umweltverantwortungsinitiative keine Mehrheit gefunden. Auf 77,9 Prozent der abgegebenen Stimmzettel stand ein Nein. Embrach hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Embrach (ZH)","Les habitants d'Embrach rejettent l'initiative sur la responsabilité environnementale à 77,9 pour cent. Embrach a rejeté le texte des Jeunes Vert-e-s, tout comme son canton.","Embrach (ZH)","I cittadini di Embrach hanno respinto l'iniziativa per la resposanbilità ambientale con il 77,9 per cento di voti contrari. Embrach ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Freienstein-Teufen ZH","73,1 Prozent der Stimmbürgerinnen und Stimmbürger von Freienstein-Teufen sagen Nein zur Umweltverantwortungsinitiative. Freienstein-Teufen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Freienstein-Teufen (ZH)","Les habitants de Freienstein-Teufen s'opposent à l'initiative sur la responsabilité environnementale avec 73,1 pour cent de non. Freienstein-Teufen a rejeté le texte des Jeunes Vert-e-s, tout comme son canton.","Freienstein-Teufen (ZH)","Gli abitanti di Freienstein-Teufen hanno respinto l'iniziativa per la resposanbilità ambientale con il 73,1 per cento di ""no"". Freienstein-Teufen ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Glattfelden ZH","Nein zur Umweltverantwortungsinitiative in Glattfelden: Die Gemeinde hat die Vorlage mit 80,4 Prozent abgelehnt. Glattfelden hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Glattfelden (ZH)","À Glattfelden, les habitants disent non à 80,4 pour cent à l'initiative sur la responsabilité environnementale. Glattfelden a rejeté le texte des Jeunes Vert-e-s, tout comme son canton.","Glattfelden (ZH)","Nel comune di Glattfelden, i cittadini hanno respinto l'iniziativa per la resposanbilità ambientale con il 80,4 per cento di voti contrari. Glattfelden ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Hochfelden ZH","Nein zur Umweltverantwortungsinitiative in Hochfelden: Die Gemeinde hat die Vorlage mit 83,8 Prozent abgelehnt. Hochfelden hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Hochfelden (ZH)","À Hochfelden, les habitants disent non à 83,8 pour cent à l'initiative sur la responsabilité environnementale. Hochfelden a rejeté le texte des Jeunes Vert-e-s, tout comme son canton.","Hochfelden (ZH)","Nel comune di Hochfelden, i cittadini hanno respinto l'iniziativa per la resposanbilità ambientale con il 83,8 per cento di voti contrari. Hochfelden ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Höri ZH","Nein zur Umweltverantwortungsinitiative in Höri: Die Gemeinde hat die Vorlage mit 89 Prozent abgelehnt. Höri hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Höri (ZH)","À Höri, les habitants disent non à 89 pour cent à l'initiative sur la responsabilité environnementale. Höri a rejeté le texte des Jeunes Vert-e-s, tout comme son canton.","Höri (ZH)","Nel comune di Höri, i cittadini hanno respinto l'iniziativa per la resposanbilità ambientale con il 89 per cento di voti contrari. Höri ha respinto il testo, risultato che si è confermato anche a livello cantonale."
